,movie_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,movie_age,tomatometer_rating
0,The Kid,1921,"Comedy, Drama, Family",68,USA,"English, None",83.0,0.026916,100,100.0
1,A Woman of Paris: A Drama of Fate,1923,"Drama, Romance",82,USA,"None, English",70.0,0.011233,98,92.0
2,The Gold Rush,1925,"Adventure, Comedy, Drama",95,USA,"English, None",82.0,0.026916,96,100.0
3,Metropolis,1927,"Drama, Sci-Fi",153,Germany,German,83.0,1.349711,94,97.0
4,Sunrise: A Song of Two Humans,1927,"Drama, Romance",94,USA,English,81.0,0.121107,94,98.0
5,Wings,1927,"Drama, Romance, War",144,USA,English,75.0,0.000746,94,93.0
6,The Circus,1928,"Comedy, Romance",72,USA,English,81.0,0.026916,93,96.0
7,City Lights,1931,"Comedy, Drama, Romance",87,USA,English,85.0,0.046008,90,98.0
8,Dracula,1931,"Drama, Fantasy, Horror",75,USA,"English, Hungarian, Latin",75.0,0.085204,90,92.0
9,Dr. Jekyll and Mr. Hyde,1931,"Horror, Sci-Fi",98,USA,English,76.0,0.016615,90,90.0
10,Freaks,1932,"Drama, Horror",64,USA,"English, German, French",79.0,0.004072,89,95.0
11,The Old Dark House,1932,"Comedy, Horror, Thriller",72,USA,English,71.0,0.034649,89,96.0
12,Duck Soup,1933,"Comedy, Musical, War",69,USA,English,78.0,0.1038,88,92.0
13,42nd Street,1933,"Comedy, Musical, Romance",89,USA,English,74.0,0.0016,88,96.0
14,The Invisible Man,1933,"Horror, Sci-Fi",71,USA,English,77.0,0.027105,88,94.0
15,King Kong,1933,"Adventure, Horror, Sci-Fi",100,USA,English,79.0,0.000651,88,98.0
16,L'Atalante,1934,"Comedy, Drama, Romance",89,France,"French, Russian",78.0,0.009505,87,100.0
17,The Gay Divorcee,1934,"Comedy, Musical, Romance",107,USA,"English, French, Italian",75.0,0.00675,87,93.0
18,Treasure Island,1934,"Adventure, Family",110,USA,English,71.0,4.95732,87,100.0
19,Twentieth Century,1934,"Comedy, Romance",91,USA,"English, German",74.0,0.0098,87,86.0
20,The 39 Steps,1935,"Mystery, Thriller",86,UK,English,76.0,0.051711,86,96.0
21,A Night at the Opera,1935,"Comedy, Music, Musical",96,USA,"English, Italian",79.0,3.9567,86,98.0
22,Roberta,1935,"Comedy, Musical, Romance",106,USA,"English, French, Russian",71.0,0.002493,86,86.0
23,Fury,1936,"Crime, Drama, Film-Noir",92,USA,English,79.0,0.011712,85,100.0
24,Modern Times,1936,"Comedy, Drama, Family",87,USA,English,85.0,0.457688,85,100.0
25,Swing Time,1936,"Comedy, Musical, Romance",103,USA,"English, French",76.0,0.004961,85,97.0
26,Pépé le Moko,1937,"Crime, Drama, Romance",94,France,"French, Arabic",77.0,0.155895,84,100.0
27,Shall We Dance,1937,"Comedy, Musical, Romance",109,USA,"English, French",75.0,0.006662,84,89.0
28,Snow White and the Seven Dwarfs,1937,"Animation, Family, Fantasy",83,USA,English,76.0,184.925486,84,98.0
29,Bringing Up Baby,1938,"Comedy, Family, Romance",102,USA,English,79.0,0.01118,83,93.0
30,Holiday,1938,"Comedy, Romance",95,USA,English,78.0,0.014486,83,100.0
31,The Lady Vanishes,1938,"Mystery, Thriller",96,UK,"English, German, French, Italian",78.0,0.039776,83,98.0
32,Drums Along the Mohawk,1939,"Drama, History, Romance",104,USA,English,71.0,0.01036,82,82.0
33,Mr. Smith Goes to Washington,1939,"Comedy, Drama",129,USA,English,81.0,0.144738,82,96.0
